Evento,Jet.Size,Jet.PT,Jet.Eta,Jet.Phi
221,1,24.8018,-1.29481,1.00589
226,2,35.7323,3.02044,2.38663
226,2,23.4699,0.00113064,-0.812143
229,1,27.3055,-0.840135,2.2278
230,1,23.4371,-2.99627,0.553337
231,1,23.7782,-1.18578,0.417265
232,1,28.1319,4.54673,0.96676
233,2,31.8802,0.333158,2.0983
233,2,25.6064,1.72586,-2.30782
235,2,43.5383,0.597233,3.07986
235,2,25.5564,-1.38655,-0.323926
236,1,31.7589,-0.00572787,0.0774457
238,1,25.3407,-1.19189,-0.940488
239,2,47.8155,-2.21512,3.13554
239,2,46.3438,-1.7095,-0.101065
241,1,32.5293,-1.19738,-0.175476
245,2,23.0144,-0.730857,-1.3022
245,2,22.7689,-0.99013,2.14686
246,2,25.8591,-1.46082,1.8252
246,2,25.1266,-0.539009,-1.04504
250,1,37.1926,-0.613447,-0.572933
251,2,46.3606,2.58333,2.17468
251,2,41.8371,0.609874,-0.816991
252,3,34.152,-0.917391,0.324558
252,3,27.5672,-3.37376,-2.73601
252,3,26.1633,3.09718,0.28506
256,1,22.6487,-2.26368,-2.01471
257,1,23.9246,1.07061,-2.93369
258,1,23.9388,-2.43817,2.5832
262,1,29.7474,2.14167,-2.58528
263,3,32.3597,-1.66165,2.93766
263,3,24.223,-0.169233,-0.415643
263,3,24.0449,-1.43017,-0.286635
264,1,25.4199,1.4687,1.13136
266,1,27.5786,-4.21337,0.725086
267,3,76.0081,3.02228,-1.89023
267,3,33.4828,1.41393,1.22725
267,3,29.7043,2.2579,2.89332
268,4,76.8275,0.930347,1.32803
268,4,53.0945,2.26572,-1.73108
268,4,45.6975,1.6016,2.89129
268,4,34.6854,4.36224,-0.461516
270,1,22.5781,4.39993,-2.19249
271,1,45.8153,0.442668,-2.1124
273,1,22.3978,-2.38278,1.8516
275,1,24.986,-3.40626,2.75754
278,2,29.7731,3.1583,0.649317
278,2,28.7445,1.56099,-2.8523
279,1,34.1465,1.73376,-0.0695272
281,1,25.4711,0.666749,-2.21189
284,1,32.452,-0.414751,-2.58416
285,1,27.5243,1.85428,-0.965876
286,3,45.383,-1.33322,0.0593072
286,3,32.9241,-2.40771,-3.1047
286,3,24.5805,1.53016,1.50134
287,2,25.4172,-3.67453,0.422014
287,2,24.9204,-1.70799,-2.96966
290,2,32.168,0.961095,2.76495
290,2,25.7505,-1.0893,-0.17727
291,2,37.2691,1.33368,-1.33675
291,2,27.0108,-0.572875,1.70862
293,1,36.2477,-2.51228,0.744451
294,2,59.8134,0.0341203,-1.61819
294,2,42.652,-0.433384,0.497024
295,1,38.4355,-0.758253,2.38299
296,1,22.3618,2.22145,-1.28143
297,2,28.1937,1.18078,1.95232
297,2,23.2785,3.98512,-1.2186
300,3,36.5492,0.607302,-2.23095
300,3,29.721,0.872898,0.663313
300,3,27.3204,-0.0532256,-3.02268
304,1,22.9302,-1.99867,0.959096
305,1,25.233,-0.809468,2.01083
306,2,35.9759,-1.33173,2.1473
306,2,22.5465,-2.33906,-1.91852
307,1,31.4267,0.801005,-0.904929
309,1,23.8126,1.22674,-2.2293
310,1,27.4225,-1.64629,-0.822265
312,1,49.9587,0.927309,1.25482
313,1,32.4,-4.09461,-2.06161
316,1,24.7936,1.12676,-1.81125
317,1,27.2453,-0.0764324,2.17235
318,1,23.9822,-2.10824,-2.9463
319,1,29.7203,0.912295,-1.56137
321,1,25.6518,-0.647883,-0.388306
324,1,23.3509,-2.14821,2.7146
328,2,49.8548,-1.6026,-2.01692
328,2,34.4988,-1.76673,1.42139
329,3,31.1516,0.501967,0.602751
329,3,29.1528,2.30494,-2.71564
329,3,26.5763,0.620876,-0.183543
334,1,24.1797,-0.713941,-2.41165
335,1,24.3745,1.43786,-0.467035
336,1,36.7089,0.00676431,0.209742
337,2,35.0738,0.446917,2.76266
337,2,23.3638,0.770769,-0.0567993
338,1,28.9889,-2.84549,-0.0507926
339,2,29.5463,-0.0216628,0.645781
339,2,22.9327,3.21836,-0.601709
340,1,24.4264,1.7955,-1.32467
347,2,28.323,0.904569,-1.34048
347,2,28.0173,-0.0866053,-2.51633
348,1,24.2359,-1.53646,2.45251
350,1,25.3365,-1.125,-1.39842
352,2,28.1185,-2.16296,3.00096
352,2,22.8499,-3.33056,-0.904413
354,1,25.0757,-1.43334,-2.92926
355,3,43.9253,0.479927,-1.63503
355,3,33.6508,0.0752882,2.76737
355,3,22.4678,2.05556,1.10199
359,1,40.0963,-1.31421,0.73459
360,2,33.0468,-2.30581,-0.763646
360,2,23.6283,-3.40723,3.11175
363,1,28.2523,4.10255,-1.32173
368,2,27.7646,-0.209012,0.555699
368,2,24.681,-0.0294407,-2.86947
370,2,25.8086,-0.133107,2.47597
370,2,23.3863,1.24317,-0.439129
371,1,29.6596,3.43916,-0.280286
372,1,31.7946,0.717787,-0.558532
373,1,26.2225,-1.56001,-2.14265
376,1,26.3539,1.05928,-2.34978
379,1,26.794,-0.782206,1.77344
380,1,40.028,0.150351,-0.162833
382,1,29.1878,0.630068,-2.69408
383,1,31.0566,-0.147065,0.120324
389,3,74.212,0.23959,2.45921
389,3,34.9846,1.88321,-1.68052
389,3,29.33,0.196642,0.0348565
391,1,33.8034,0.232563,-2.53653
393,2,28.6449,-0.444231,-1.85325
393,2,22.7819,1.54863,1.81349
395,1,26.1659,-0.27549,-0.601416
396,1,22.6423,-3.66148,0.111608
398,3,51.8137,0.983443,-1.74843
398,3,29.3036,3.10701,0.797219
398,3,24.7427,-2.70099,1.83938
402,2,40.7563,-2.63871,1.01043
402,2,28.7156,2.26034,-1.49419
403,1,24.7186,1.6708,-1.14712
407,1,25.6871,-2.24911,1.3509
409,2,24.8557,-2.29198,2.8535
409,2,23.7781,-0.468134,-0.245228
412,1,26.0715,-2.87562,-2.7522
413,3,31.8666,-1.18687,-1.31364
413,3,30.7886,-0.863742,2.12264
413,3,26.6437,2.55199,-0.0791865
416,1,38.2791,1.70886,1.58154
421,2,24.3157,0.391061,0.254068
421,2,23.3733,0.383937,2.11456
422,2,50.1337,0.820163,-2.33207
422,2,39.0691,-1.63876,0.543109
423,1,48.4012,3.55057,-1.52131
424,1,23.8317,0.72228,0.412066
428,1,29.6424,-0.251399,-2.16767
432,2,40.5189,1.73783,0.340625
432,2,29.3378,2.49688,3.04105
435,2,33.9163,-0.392516,1.3933
435,2,25.5538,0.584934,-1.08577
436,1,24.0911,-1.32022,0.86739
437,2,41.876,-0.699927,-2.2946
437,2,38.0248,3.49497,0.676253
440,1,35.6831,-1.86104,-0.823844
441,3,51.0084,-1.12946,1.26451
441,3,40.0711,0.888197,-1.93163
441,3,27.1301,-1.49347,2.91761
442,1,22.9423,-0.847585,-1.60451
445,1,23.2779,-2.49776,-2.6167
447,2,70.5874,-0.250089,1.79146
447,2,50.4748,-0.347383,-1.0643
448,2,30.7502,0.00868909,-2.63738
448,2,24.1246,0.820772,0.253235
449,1,24.4364,3.24926,-1.58411
451,1,23.5765,-2.41937,-2.60616
456,1,39.1467,1.15514,0.995076
458,1,27.0705,4.3769,-2.77375
461,2,23.363,-1.25508,3.13825
461,2,22.6743,-1.43565,0.110658
463,1,25.5916,0.545807,1.82922
465,1,42.4511,-1.43179,-0.213252
466,1,23.561,0.00901509,-0.0539412
467,2,36.7309,-0.604322,0.328423
467,2,25.665,-2.63119,-2.30724
469,1,30.4469,1.77716,2.34439
471,2,42.9332,-2.09605,-0.393351
471,2,34.5696,-1.75534,2.72751
472,1,31.6003,2.96793,0.145944
476,2,65.133,-0.107329,-0.226652
476,2,23.899,-0.119259,2.49617
477,1,35.886,1.01426,0.547946
480,1,23.5304,2.72935,-1.2556
482,2,28.8321,-1.16397,-1.40011
482,2,26.2523,-0.13224,2.55536
484,3,40.348,0.361053,-1.44854
484,3,33.6139,-0.619301,2.22392
